state,winner
Alabama,Trump
Alaska,Trump
Arizona,Trump
Arkansas,Trump
California,Hilary
Colorado,Hilary
Connecticut,Hilary
Delaware,Hilary
District of Columbia,Hilary
Florida,Trump
Georgia,Trump
Hawaii,Hilary
Idaho,Trump
Illinois,Hilary
Indiana,Trump
Iowa,Trump
Kansas,Trump
Kentucky,Trump
Louisiana,Trump
Maine,Hilary
Maryland,Hilary
Massachusetts,Hilary
Michigan,Trump
Minnesota,Hilary
Mississippi,Trump
Missouri,Trump
Montana,Trump
Nebraska,Trump
Nevada,Hilary
New Hampshire,Hilary
New Jersey,Hilary
New Mexico,Hilary
New York,Hilary
North Carolina,Trump
North Dakota,Trump
Ohio,Trump
Oklahoma,Trump
Oregon,Hilary
Pennsylvania,Trump
Rhode Island,Hilary
South Carolina,Trump
South Dakota,Trump
Tennessee,Trump
Texas,Trump
Utah,Trump
Vermont,Hilary
Virginia,Hilary
Washington,Hilary
West Virginia,Trump
Wisconsin,Trump
Wyoming,Trump
